song_name,musical,"type (Choose from REGULAR, DRINKING-SONG', OPENING CLOSING)"
Sucks To Be Me,Avenue Q,OPENING
The Internet Is For Porn,Avenue Q,REGULAR
Be Out Guest,Beauty and the Beast,OPENING
Gaston,Beauty and the Beast,DRINKING-SONG
Hello,Book of Mormon,OPENING
All That Jazz,Chicago,REGULAR
Sincerely Me,Dear Evan Hanson,REGULAR
We don't talk about Bruno,Encanto,REGULAR
To Life,Fiddler on the Roof,DRINKING-SONG
We Go Together,Grease,REGULAR
Greased Lightnin',Grease,REGULAR
Summer Nights,Grease,REGULAR
You're the one that I want,Grease,REGULAR
Way Down Hadestown,Hadestown,REGULAR
The Road to Hell ,Hadestown,REGULAR
Wait for me,Hadestown,REGULAR
Aquarius ,Hair,OPENING
You Can't Stop the Beat,Hairspray,CLOSING
Welcome to the 60s,Hairspray,REGULAR
Good Morning Baltimore,Hairspray,OPENING
Satisfied,Hamilton,REGULAR
The Room Where It Happens,Hamilton,REGULAR
Guns and Ships,Hamilton,REGULAR
My Shot,Hamilton,DRINKING-SONG
RIght Hand Man,Hamilton,REGULAR
The Schuyler Sisters,Hamilton,REGULAR
Yorktown,Hamilton,REGULAR
Non Stop,Hamilton,REGULAR
Hamilton,Hamilton,OPENING
Prologue,Into the Woods,REGULAR
Do You Hear the People Sing?,Les Mis,REGULAR
One Day More,Les Mis,REGULAR
Master of the House,Les Mis,DRINKING-SONG
Confrontation,Les Mis,REGULAR
Be a Man,Mulan,REGULAR
In the Heights,In the Heights,REGULAR
America,West Side Story,REGULAR
Rent,Rent,REGULAR
La Vie Boheme A,Rent,DRINKING-SONG
Season of Love,Rent,CLOSING
Ex-Wives,Six,REGULAR
Six,Six,CLOSING
The Bells of Notre Dame,The Hunchback of Notredame,REGULAR
Can't Wait To Be King,The Lion King,REGULAR
The Circle of Life,The Lion King,OPENING
Hakuna Matata,The Lion King,OPENING
Under the Sea,The Little Mermaid,REGULAR
Time Warp,The Rocky Horror Show,REGULAR
Do Re Mi,The Sound of Music,REGULAR
"So Long, Farewell",The Sound of Music,CLOSING
What Is This Feeling?,Wicked,REGULAR
One Short Day,Wicked,REGULAR
The Whole Being Dead Thing,Beetlejuice,REGULAR
Um Pah Pah,Oliver,DRINKING-SONG
Zero to Hero,Hercules,REGULAR
The Gospel Truth,Hercules,OPENING
A Star is Born,Hercules,REGULAR
Prince Ali,Aladdin,REGULAR
Belle,Beauty and the Beast,OPENING
You've Got a Friend in Me,Toy Story ,ClOSING
Happy Birthday,To Yaakov,REGULAR
