רגע מושלם,בילי שוורץ
כולם רצים כולם,בילי שוורץ
בלי פאניקה,בילי שוורץ
אצלי תצאו גברים,מולאן
פוזה,מואנה
מעבר לנהר,פוקהונטס
דרך עיני השמיים,נסיך מצרים הסרט
בדיוק כמו אז,השנה היפה בחיי
Just a Man,Epic the Musical
No Longer You,Epic the Musical
Monster,Epic the Musical
Warrior of the Mind,Epic the Musical
"Loser, Baby",Hazbin Hotel
More Than Anything,Hazbin Hotel
Poison,Hazbin Hotel
Way Down Hadestown,Hadestown
Why We Build the Wall,Hadestown
Wait for Me (Reprise),Hadestown
Meant to Be Yours,Heathers
Dead Girl Walking,Heathers
Freeze Your Brain,Heathers
Michael in the Bathroom,Be More Chill
Two Player Game,Be More Chill
Don't Lose Your Head,Six
All You Wanna Do,Six
Heart of Stone,Six
She Used to Be Mine,Waitress
When He Sees Me,Waitress
Ring of Keys,Fun Home
Changing My Major,Fun Home
The Ballad of Jane Doe,Ride the Cyclone
Noel's Lament,Ride the Cyclone
Dust and Ashes,Natasha Pierre and the Great Comet of 1812
No One Else,Natasha Pierre and the Great Comet of 1812
You Stupid Bitch,Crazy Ex-Girlfriend
Settle for Me,Crazy Ex-Girlfriend
Calm,Ordinary Days
Run Away With Me,The Mad Ones
Life of the Party,The Wild Party
Pretty Funny,Dogfight
